StockCode,Name,Description,Price
1094,Tiger Woods PGA Tour 06,Sports,9.95
1095,Death Jr.,Action,9.95
1096,Harry Potter and the Goblet of Fire,Action,17.95
1097,MediEvil Resurrection,Action,17.95
1098,"The Chronicles of Narnia: The Lion, the Witch a...","Action,Role-Playing (RPG)",12.95
1099,Shrek SuperSlam,Action,11.95
1100,Virtua Tennis: World Tour,Sports,14.95
1101,Prince of Persia: Revelations,Action,6.95
1102,Burnout Legends,"Action,Racing / Driving",17.95
1103,Meteos,Strategy,15.95
1104,Spyro: Shadow Legacy,Role-Playing (RPG),17.95
1105,The Con,Action,8.95
1106,Infected,Action,17.95
1107,Pursuit Force,"Action,Racing / Driving",14.95
1108,Kingdom of Paradise,"Action,Role-Playing (RPG)",12.95
1109,Dragon Ball Z: Supersonic Warriors 2,Action,22.95
1110,Dragon Quest Heroes: Rocket Slime,Action,12.95
1111,Dead to Rights: Reckoning,Action,14.95
1112,Amped 3,Sports,14.95
1113,Break 'em All,Action,17.95
1114,Lunar: Dragon Song,Role-Playing (RPG),14.95
1115,Madden NFL 06,Sports,9.95
1116,Retro Atari Classics,"Action,Racing / Driving,Simulation",12.95
1117,True Swing Golf,Sports,14.95
1118,FIFA Soccer,Sports,14.95
1119,Metal Gear Ac!d 2,Strategy,12.95
1120,ATV Quad Frenzy,"Racing / Driving,Sports",14.95
1121,Bomberman,Strategy,17.95
1122,GoldenEye: Rogue Agent,Action,14.95
1123,Need for Speed Underground 2,Racing / Driving,22.95
1124,Frogger: Helmet Chaos,Action,19.95
1125,The Lord of the Rings: Tactics,"Role-Playing (RPG),Strategy",19.95
1126,Rengoku: The Tower of Purgatory,"Action,Role-Playing (RPG)",12.95
1127,Gretzky NHL,Sports,9.95
1128,Ridge Racer 6,Racing / Driving,14.95
1129,Ford Racing 3,"Action,Racing / Driving",14.95
1130,NHL 2K6 ,Sports,5.95
1131,Bust-a-Move DS,"Action,Strategy",17.95
1132,Battles of Prince of Persia,Strategy,14.95
1133,GripShift,Racing / Driving,9.95
1134,Marvel Nemesis: Rise of the Imperfects ,Action,14.95
1135,Scooby-Doo! Unmasked,Action,17.95
1136,Viewtiful Joe: Double Trouble!,Action,14.95
1137,The Legend of Heroes: A Tear of Vermillion,Role-Playing (RPG),17.95
1138,PQ: Practical Intelligence Quotient,Strategy,14.95
1139,Lost in Blue,Role-Playing (RPG),24.95
1140,Ghost in the Shell: Stand Alone Complex,Action,14.95
1141,Dig Dug: Digging Strike,Action,16.95
1142,Frogger: Helmet Chaos,Action,17.95
1143,Mega Man Battle Network 5: Double Team DS,"Action,Role-Playing (RPG)",17.95
1144,Nanostray,Action,17.95
1145,Sega Casino,Simulation,17.95
1146,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,"Action,Adventure",17.95
1147,Pac-Man World 3,Action,24.95
1148,Tokobot,Strategy,17.95
1149,Fullmetal Alchemist: Dual Sympathy,Action,14.95
1150,Exit,Action,9.95
1151,Bubble Bobble Revolution,Action,17.95
1152,The Rub Rabbits!,"Action,Adventure",17.95
1153,Electroplankton,Simulation,29.95
1154,LifeSigns: Surgical Unit,"Simulation,Strategy",22.95
1155,Space Invaders Revolution,Action,13.95
1156,Wii Play,"Action,Sports",14.95
1157,New Super Mario Bros.,Action,27.95
1158,Pokmon Diamond,Role-Playing (RPG),27.95
1159,Pokmon Pearl,Role-Playing (RPG),26.95
1160,Gears of War,Action,19.95
1161,The Legend of Zelda: Twilight Princess,"Action,Role-Playing (RPG)",39.95
1162,Cooking Mama,Simulation,17.95
1163,Marvel Ultimate Alliance,"Action,Role-Playing (RPG)",14.95
1164,Daxter,Action,14.95
1165,The Elder Scrolls IV: Oblivion,"Action,Role-Playing (RPG)",19.95
1166,Madden NFL 07,Sports,4.95
1167,Grand Theft Auto: Vice City Stories,"Action,Racing / Driving",17.95
1168,Resistance: Fall of Man,Action,19.95
1169,MotorStorm,"Action,Racing / Driving,Sports",16.95
1170,Call of Duty 3,Action,16.95
1171,Yoshi's Island DS,Action,27.95
1172,Tom Clancy's Ghost Recon: Advanced Warfighter,Action,14.95
1173,Fight Night Round 3,"Action,Sports",14.95
1174,Pokmon Ranger,Role-Playing (RPG),19.95
1175,Rayman Raving Rabbids,Action,17.95
1176,Saints Row,"Action,Racing / Driving",14.95
1177,Tom Clancy's Rainbow Six: Vegas,Action,14.95
1178,Dead Rising,Action,16.95
1179,Call of Duty 3,Action,19.95
1180,Lost Planet: Extreme Condition,Action,12.95
1181,Mario Hoops 3 on 3,Sports,22.95
1182,LEGO Star Wars II: The Original Trilogy,Action,17.95
1183,Super Monkey Ball: Banana Blitz,Action,14.95
1184,The Sims 2: Pets,Simulation,14.95
1185,Need for Speed: Carbon - Own the City,Racing / Driving,16.95
1186,WarioWare: Smooth Moves,"Action,Racing / Driving,Sports",39.95
1187,Fight Night Round 3,"Action,Sports",13.95
1188,Final Fantasy III,Role-Playing (RPG),17.95
1189,SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,Action,16.95
1190,Madden NFL 07,Sports,9.95
1191,Monster 4x4: World Circuit,Racing / Driving,12.95
1192,Kirby: Squeak Squad,Action,27.95
1193,Pokmon Battle Revolution,"Action,Strategy",39.95
1194,Medal of Honor: Heroes,Action,14.95
1195,Tekken: Dark Resurrection,Action,17.95
1196,Need for Speed: Carbon,Racing / Driving,16.95
1197,Mario vs. Donkey Kong 2: March of the Minis,Action,27.95
1198,Sonic Rivals,"Action,Racing / Driving",17.95
1199,NCAA Football 07,Sports,4.95
1200,Mortal Kombat: Unchained,Action,17.95
1201,Tom Clancy's Splinter Cell: Double Agent,Action,17.95
1202,Tetris DS,Strategy,17.95
1203,LEGO Star Wars II: The Original Trilogy,Action,17.95
1204,Red Steel,Action,14.95
1205,Metroid Prime: Hunters,Action,27.95
1206,LEGO Star Wars II: The Original Trilogy,Action,14.95
1207,NBA 2K7 ,Sports,4.95
1208,SEGA Genesis Collection,"Action,Racing / Driving,Role-Playing (RPG),Strategy",17.95
1209,Call of Duty 3,Action,19.95
1210,NBA Live 07,Sports,7.95
1211,Madden NFL 07,Sports,6.95
1212,SpongeBob SquarePants: The Yellow Avenger,Action,12.95
1213,Madden NFL 07,Sports,9.95
1214,Fight Night Round 3,"Action,Simulation,Sports",16.95
1215,Need for Speed: Carbon,Racing / Driving,17.95
1216,Need for Speed: Carbon,Racing / Driving,17.95
1217,WWE SmackDown vs. Raw 2007,Sports,12.95
1218,Tiger Woods PGA Tour 07,Sports,9.95
1219,Viva Pi$?ata,"Simulation,Strategy",16.95
1220,SpongeBob Squarepants: Creature from the Krusty Krab,"Action,Adventure",14.95
1221,Tony Hawk's Project 8,Sports,17.95
1222,Tony Hawk's Project 8,Sports,16.95
1223,NBA LIVE 07 ,Sports,4.95
1224,Excite Truck,Racing / Driving,19.95
1225,Harvest Moon DS,"Role-Playing (RPG),Simulation",17.95
1226,Star Fox Command,Action,14.95
1227,Metal Gear Solid: Portable Ops,"Action,Strategy",17.95
1228,Marvel Ultimate Alliance,"Action,Role-Playing (RPG)",17.95
1229,Blazing Angels: Squadrons of WWII,Action,16.95
1230,Major League Baseball 2K6,Sports,4.95
1231,NCAA Football 07,Sports,9.95
1232,MLB 06: The Show,Sports,9.95
1233,Blazing Angels: Squadrons of WWII,Action,16.95
1234,WWE SmackDown vs. Raw 2007,Sports,14.95
1235,Rune Factory: A Fantasy Harvest Moon,"Role-Playing (RPG),Simulation",24.95
1236,Marvel Ultimate Alliance,"Action,Role-Playing (RPG)",22.95
1237,Marvel Ultimate Alliance,"Action,Role-Playing (RPG)",24.95
1238,Tiger Woods PGA Tour 07,Sports,14.95
1239,Ace Combat X: Skies of Deception,"Action,Simulation",22.95
1240,Killzone: Liberation,"Action,Strategy",16.95
1241,F.E.A.R.: First Encounter Assault Recon,Action,17.95
1242,NBA 2K7,Sports,7.95
1243,Tony Hawk's Project 8,Sports,14.95
1244,Avatar: The Last Airbender,Action,17.95
1245,Castlevania: Portrait of Ruin,Action,17.95
1246,Hitman: Blood Money,Action,22.95
1247,Rockstar Games presents Table Tennis,Sports,9.95
1248,Trauma Center: Second Opinion,"Action,Simulation",17.95
1249,Tenchu Z,Action,14.95
1250,Elite Beat Agents,Action,9.95
1251,Street Fighter Alpha 3 MAX,Action,14.95
1252,Blue Dragon,Role-Playing (RPG),14.95
1253,The Lord of the Rings: The Battle for Middle Ea...,Strategy,19.95
1254,Prey,Action,14.95
1255,Over the Hedge,Adventure,16.95
1256,Capcom Classics Collection Reloaded,Action,17.95
1257,Pirates of the Caribbean: Dead Man's Chest,Action,14.95
1258,NHL 07 ,Sports,5.95
1259,Monster Hunter Freedom,"Action,Strategy",12.95
1260,Chromehounds,"Action,Simulation,Strategy",14.95
1261,Test Drive Unlimited,Racing / Driving,17.95
1262,Dragon Ball Z: Budokai Tenkaichi 2,Action,14.95
1263,Dragon Quest Monsters: Joker,Role-Playing (RPG),14.95
1264,Pirates of the Caribbean: Dead Man's Chest,Action,11.95
1265,NFL Street 3,"Action,Sports",14.95
1266,Syphon Filter: Dark Mirror,Action,12.95
1267,NBA 07,Sports,6.95
1268,Ridge Racer 7,Racing / Driving,19.95
1269,The Outfit,Action,14.95
1270,Elebits,Action,14.95
1271,Tony Hawk's Downhill Jam,"Racing / Driving,Sports",14.95
1272,The Sims 2: Pets,Simulation,17.95
1273,Tiger Woods PGA Tour 07,Sports,12.95
1274,Thrillville,"Simulation,Strategy",14.95
1275,The Godfather: The Game,Action,17.95
1276,Rampage: Total Destruction,Action,16.95
1277,College Hoops 2K7,Sports,6.95
1278,Far Cry: Instincts - Predator,Action,17.95
1279,Full Auto,"Action,Racing / Driving",16.95
1280,Age of Empires: The Age of Kings,Strategy,17.95
1281,Need for Speed: Carbon - Own the City,"Action,Racing / Driving",14.95
1282,Brothers in Arms: D-Day,Action,6.95
1283,Family Guy Video Game!,Action,19.95
1284,Superman Returns,Action,7.95
1285,Over G Fighters,Simulation,17.95
1286,Final Fantasy XI Online,"Action,Role-Playing (RPG)",4.95
1287,Mystery Dungeon: Shiren the Wanderer,"Action,Role-Playing (RPG)",17.95
1288,Phoenix Wright: Ace Attorney - Justice for All,"Adventure,Simulation",13.95
1289,Justice League Heroes,Action,17.95
1290,Valhalla Knights,"Action,Role-Playing (RPG)",16.95
1291,Genji: Days of the Blade,"Action,Role-Playing (RPG)",14.95
1292,Top Spin 2,Sports,12.95
1293,Field Commander,Strategy,14.95
1294,Children of Mana,"Action,Role-Playing (RPG)",16.95
1295,Valkyrie Profile: Lenneth,Role-Playing (RPG),22.95
1296,Monster House,Action,14.95
1297,Enchanted Arms,Role-Playing (RPG),17.95
1298,NHL 07,Sports,12.95
1299,Bust-a-Move Deluxe,Strategy,14.95
1300,Full Auto 2: Battlelines,"Action,Racing / Driving",14.95
1301,Blitz: The League,Sports,14.95
1302,Star Trek Legacy,"Action,Strategy",24.95
1303,Eragon,"Action,Role-Playing (RPG)",16.95
1304,Master of Illusion,Strategy,14.95
1305,Mega Man ZX,Action,19.95
1306,Untold Legends: The Warrior's Code,"Action,Role-Playing (RPG)",14.95
1307,Super Swing Golf,Sports,16.95
1308,X-Men: The Official Game,Action,14.95
1309,Untold Legends: Dark Kingdom,"Action,Role-Playing (RPG)",16.95
1310,Happy Feet,Action,14.95
1311,Open Season,Action,17.95
1312,Dungeon Siege: Throne of Agony,Role-Playing (RPG),24.95
1313,LocoRoco,"Action,Strategy",17.95
1314,Dead or Alive: Xtreme 2,"Racing / Driving,Sports",14.95
1315,Fuzion Frenzy 2,"Action,Sports",14.95
1316,MotoGP '06,"Racing / Driving,Simulation,Sports",14.95
1317,Lumines II,Strategy,14.95
1318,Major League Baseball 2K6,Sports,4.95
1319,Star Wars: Lethal Alliance,Action,17.95
1320,Worms: Open Warfare,"Action,Strategy",17.95
1321,Eragon,Action,14.95
1322,Metal Slug Anthology,Action,16.95
1323,Open Season,Action,14.95
1324,Tom Clancy's Splinter Cell: Double Agent,Action,17.95
1325,Avatar: The Last Airbender,Action,17.95
1326,Lemmings,Strategy,17.95
1327,Mega Man Powered Up,Action,16.95
1328,College Hoops 2K6,Sports,6.95
1329,Dynasty Warriors 5: Empires,"Action,Role-Playing (RPG),Strategy",14.95
1330,Magical Starsign,Role-Playing (RPG),9.95
1331,Resident Evil: Deadly Silence,Action,17.95
1332,X-Men: The Official Game,Action,14.95
1333,Cabela's African Safari,Sports,17.95
1334,Cabela's Alaskan Adventures,Sports,17.95
1335,Armored Core 4,Action,19.95
1336,Eragon,Action,12.95
1337,LostMagic,"Action,Role-Playing (RPG)",14.95
1338,Magnetica,"Action,Strategy",17.95
1339,Def Jam Fight for NY: The Takeover,Action,17.95
1340,NASCAR 07,"Racing / Driving,Simulation",24.95
1341,The Ant Bully,Action,16.95
1342,Just Cause,"Action,Racing / Driving",16.95
1343,Onechanbara: Bikini Samurai Squad,Action,19.95
1344,Phantasy Star Universe,Role-Playing (RPG),24.95
1345,Project Sylpheed: Arc of Deception,Action,14.95
1346,Winning Eleven: Pro Evolution Soccer 2007,Sports,11.95
1347,Kororinpa: Marble Mania,"Action,Strategy",17.95
1348,Digimon World DS,Role-Playing (RPG),27.95
1349,Justice League Heroes,Action,17.95
1350,Innocent Life: A Futuristic Harvest Moon,"Role-Playing (RPG),Simulation,Strategy",17.95
1351,Power Stone Collection,Action,14.95
1352,EA Replay,"Action,Role-Playing (RPG),Simulation,Sports,Strategy",14.95
1353,Open Season,Action,17.95
1354,Samurai Warriors 2,Action,14.95
1355,Far Cry: Vengeance,Action,16.95
1356,Import Tuner Challenge,Racing / Driving,17.95
1357,Contact,"Adventure,Role-Playing (RPG)",14.95
1358,Touch Detective,Adventure,14.95
1359,FIFA Street 2,Sports,17.95
1360,007: From Russia with Love,"Action,Racing / Driving",17.95
1361,PaRappa the Rapper,Action,12.95
1362,Riviera: The Promised Land,Role-Playing (RPG),17.95
1363,Samurai Warriors: State of War,Action,17.95
1364,Viewtiful Joe: Red Hot Rumble,Action,14.95
1365,Ice Age 2: The Meltdown,Action,17.95
1366,Rumble Roses XX,"Action,Sports",17.95
1367,Bionicle Heroes,Action,16.95
1368,Deep Labyrinth,Role-Playing (RPG),10.95
1369,Blade Dancer: Lineage of Light,Role-Playing (RPG),16.95
1370,Every Extend Extra,Action,11.95
1371,Ultimate Ghosts 'N' Goblins,Action,17.95
1372,Xiaolin Showdown,Action,14.95
1373,Bionicle Heroes,Action,14.95
1374,Bullet Witch,Action,16.95
1375,Death Jr. II: Root of Evil,Action,14.95
1376,Alex Rider: Stormbreaker,"Action,Adventure",12.95
1377,Cartoon Network Racing,Racing / Driving,14.95
1378,Guilty Gear: Dust Strikers,Action,14.95
1379,Gunpey DS,Strategy,12.95
1380,Lara Croft Tomb Raider: Legend,"Action,Racing / Driving",17.95
1381,Worms: Open Warfare,"Action,Strategy",17.95
1382,Mercury Meltdown,Strategy,12.95
1383,MTX Mototrax,"Racing / Driving,Sports",19.95
1384,Snoopy vs. the Red Baron,Action,17.95
1385,Super Monkey Ball Adventure,"Action,Racing / Driving",24.95
1386,Ys VI: The Ark of Napishtim,"Action,Role-Playing (RPG)",16.95
1387,Bomberman Land Touch!,Action,24.95
1388,Point Blank DS,Action,17.95
1389,Scurge: Hive,Action,8.95
1390,Star Trek: Tactical Assault,"Action,Strategy",17.95
1391,Tao's Adventure: Curse of the Demon Seal,Role-Playing (RPG),14.95
1392,Ford Bold Moves Street Racing,Racing / Driving,17.95
1393,Gitaroo Man Lives!,Simulation,22.95
1394,Gradius Collection,Action,17.95
1395,The Legend of Heroes II: Prophecy of the Moonli...,Role-Playing (RPG),17.95
1396,Pac-Man World Rally,"Action,Racing / Driving",17.95
1397,Bomberman: Act Zero,Action,12.95
1398,Earth Defense Force 2017,Action,17.95
1399,WarTech: Senko no Ronde,Action,12.95
1400,MechAssault: Phantom War,Action,12.95
1401,Astonishia Story,"Role-Playing (RPG),Strategy",16.95
1402,B-Boy,Action,17.95
1403,BattleZone,Action,14.95
1404,Bounty Hounds,"Action,Strategy",17.95
1405,Bubble Bobble Evolution,Action,12.95
1406,MotoGP,"Racing / Driving,Sports",32.95
1407,OutRun 2006: Coast 2 Coast,Racing / Driving,17.95
1408,Warhammer: Battle for Atluma,Strategy,17.95
1409,SBK: Snowboard Kids,"Action,Sports",19.95
1410,Tenchu: Dark Secret,Action,14.95
1411,Dungeon Maker: Hunting Ground,"Action,Role-Playing (RPG)",14.95
1412,Metal Gear Solid: Digital Graphic Novel,Adventure,17.95
1413,Star Trek: Tactical Assault,"Action,Strategy",17.95
1414,Micro Machines V4,"Action,Racing / Driving",17.95
1415,Platypus,Action,14.95
1416,Custom Robo Arena,"Action,Role-Playing (RPG)",17.95
1417,Gurumin: A Monstrous Adventure,Action,13.95
1418,Spider-Man 3,Action,6.95
1419,Wii Fit,"Educational,Sports",24.95
1420,Halo 3,Action,24.95
1421,Call of Duty 4: Modern Warfare,Action,29.95
1422,Super Mario Galaxy,Action,39.95
1423,Mario Party DS,"Action,Strategy",27.95
1424,Mario Party 8,"Action,Strategy",39.95
1425,Guitar Hero III: Legends of Rock,"Action,Simulation",12.95
1426,Link's Crossbow Training,Action,14.95
1427,Guitar Hero III: Legends of Rock,"Action,Simulation",49.95
1428,Assassin's Creed,Action,16.95
1429,LEGO Star Wars: The Complete Saga,Action,17.95
1430,Call of Duty 4: Modern Warfare,Action,24.95
1431,Mario & Sonic at the Olympic Games,"Action,Sports",29.95
1432,LEGO Star Wars: The Complete Saga,"Action,Racing / Driving",17.95
1433,Forza Motorsport 2,Racing / Driving,12.95
1434,Madden NFL 08,Sports,9.95
1435,Guitar Hero II,"Action,Simulation",17.95
1436,Rock Band,"Action,Simulation",14.95
1437,The Legend of Zelda: Phantom Hourglass,Action,24.95
1438,Pokmon Mystery Dungeon: Explorers of Darkness,Role-Playing (RPG),15.95
1439,Pokmon Mystery Dungeon: Explorers of Time,Role-Playing (RPG),24.95
1440,Assassin's Creed,Action,17.95
1441,Uncharted: Drake's Fortune,Action,24.95
1442,Mass Effect,"Action,Role-Playing (RPG)",17.95
1443,Cooking Mama 2: Dinner with Friends,Simulation,17.95
1444,BioShock,Action,16.95
1445,Super Paper Mario,"Action,Role-Playing (RPG)",29.95
1446,Game Party,Action,14.95
1447,Ratchet & Clank: Size Matters,Action,14.95
1448,Dance Dance Revolution Hottest Party,Action,17.95
1449,Cooking Mama: Cook Off,Simulation,14.95
1450,Gran Turismo 5: Prologue,"Racing / Driving,Simulation",24.95
1451,Professor Layton and the Curious Village,"Adventure,Educational,Strategy",23.95
1452,Resident Evil 4,Action,16.95
1453,The Elder Scrolls IV: Oblivion,"Action,Role-Playing (RPG)",17.95
1454,Transformers: Autobots,"Action,Racing / Driving",17.95
1455,Transformers: Decepticons,"Action,Racing / Driving",17.95
1456,Diddy Kong Racing DS,"Racing / Driving,Sports",24.95
1457,Big Brain Academy: Wii Degree,Action,19.95
1458,Need for Speed: ProStreet,Racing / Driving,16.95
1459,Deal or No Deal,Strategy,11.95
1460,LEGO Star Wars: The Complete Saga,Action,17.95
1461,Sonic and the Secret Rings,Action,16.95
1462,The Orange Box,Action,17.95
1463,Crackdown,"Action,Racing / Driving,Role-Playing (RPG)",14.95
1464,Rock Band,"Action,Simulation",14.95
1465,Tiger Woods PGA Tour 08,Sports,17.95
1466,WWE Smackdown vs. Raw 2008,Sports,12.95
1467,Madden NFL 08,Sports,9.95
1468,Call of Duty 4: Modern Warfare,Action,19.95
1469,MySims,"Simulation,Strategy",17.95
1470,Mario Strikers Charged,"Action,Sports",29.95
1471,Star Wars Battlefront: Renegade Squadron,Action,16.95
1472,Flash Focus: Vision Training in Minutes a Day,Action,17.95
1473,Metroid Prime 3: Corruption,Action,19.95
1474,Tom Clancy's Ghost Recon: Advanced Warfighter 2...,Action,14.95
1475,Madden NFL 08,Sports,12.95
1476,Ratchet & Clank Future: Tools of Destruction,Action,22.95
1477,LEGO Star Wars: The Complete Saga,Action,17.95
1478,Rayman Raving Rabbids 2,Action,17.95
1479,NBA 2K8 ,Sports,9.95
1480,Namco Museum DS,Action,17.95
1481,Need for Speed: ProStreet,Racing / Driving,16.95
1482,Blazing Angels: Squadrons of WWII,Action,16.95
1483,Drawn to Life,Action,17.95
1484,EA Playground,"Action,Racing / Driving,Sports",17.95
1485,Major League Baseball 2K7,Sports,9.95
1486,Resident Evil: The Umbrella Chronicles,Action,19.95
1487,NCAA Football 08,Sports,9.95
1488,Spectrobes,"Action,Strategy",14.95
1489,The Sims 2: Castaway,Simulation,16.95
1490,WWE Smackdown vs. Raw 2008,Sports,14.95
1491,Madden NFL 08,Sports,9.95
1492,NBA Live 08,Sports,9.95
1493,The Simpsons Game,Action,17.95
1494,Ace Combat 6: Fires of Liberation,"Action,Simulation",19.95
1495,Heavenly Sword,Action,24.95
1496,Ninja Gaiden Sigma,Action,19.95
1497,Ben 10: Protector of the Earth,Action,16.95
1498,The Simpsons Game,Action,17.95
1499,CrossworDS,"Educational,Strategy",17.95
1500,Sonic Rush Adventure,"Action,Sports",24.95
1501,Tiger Woods PGA Tour 08,Sports,14.95
1502,Tony Hawk's Proving Ground,Sports,16.95
1503,Call of Duty: Roads to Victory,Action,24.95
1504,Transformers: The Game,Action,14.95
1505,NBA 2K8,Sports,9.95
1506,Medal of Honor: Heroes 2,Action,17.95
1507,Spider-Man 3,Action,11.95
1508,Tom Clancy's Rainbow Six: Vegas,Action,16.95
1509,Need for Speed: ProStreet,Racing / Driving,16.95
1510,NBA LIVE 08 ,Sports,9.95
1511,Dance Dance Revolution Universe 2,Action,19.95
1512,MX vs. ATV Untamed,Racing / Driving,17.95
1513,Final Fantasy IV,Role-Playing (RPG),17.95
1514,NBA Street Homecourt,Sports,7.95
1515,The Simpsons Game,Action,17.95
1516,Winter Sports: The Ultimate Challenge,"Racing / Driving,Sports",16.95
1517,WWE Smackdown vs. Raw 2008,Sports,16.95
1518,Tiger Woods PGA Tour 07,Sports,17.95
1519,Crash of the Titans,Action,17.95
1520,Sonic Rivals 2,Action,22.95
1521,Boogie,Action,17.95
1522,Medal of Honor: Airborne,Action,17.95
1523,The Sims 2: Castaway,Simulation,17.95
1524,Spider-Man 3,Action,14.95
1525,Lost Odyssey,Role-Playing (RPG),19.95
1526,Bee Movie Game,Adventure,17.95
1527,Spider-Man 3,Action,16.95
1528,Final Fantasy Tactics,"Role-Playing (RPG),Strategy",17.95
1529,Endless Ocean,Simulation,24.95
1530,SingStar,Simulation,14.95
1531,Ratatouille,Action,19.95
1532,The Sims 2: Pets,Simulation,22.95
1533,Two Worlds,"Action,Role-Playing (RPG)",14.95
1534,Crash of the Titans,Action,17.95
1535,Sonic the Hedgehog,Action,14.95
